sentence_id,model,source_token_count,target_token_count
0,IndicTrans2,7,26
0,NLLB-200,8,9
0,mT5-Base,9,5
1,IndicTrans2,6,31
1,NLLB-200,8,14
1,mT5-Base,7,5
2,IndicTrans2,5,33
2,NLLB-200,7,10
2,mT5-Base,6,4
3,IndicTrans2,8,48
3,NLLB-200,11,15
3,mT5-Base,11,5
4,IndicTrans2,7,27
4,NLLB-200,8,10
4,mT5-Base,7,5
5,IndicTrans2,11,67
5,NLLB-200,12,19
5,mT5-Base,12,6
6,IndicTrans2,10,42
6,NLLB-200,11,14
6,mT5-Base,11,5
7,IndicTrans2,11,42
7,NLLB-200,13,15
7,mT5-Base,14,5
8,IndicTrans2,12,56
8,NLLB-200,16,17
8,mT5-Base,14,5
9,IndicTrans2,11,76
9,NLLB-200,14,25
9,mT5-Base,16,5
10,IndicTrans2,9,45
10,NLLB-200,10,12
10,mT5-Base,12,5
11,IndicTrans2,8,36
11,NLLB-200,9,9
11,mT5-Base,9,5
12,IndicTrans2,8,31
12,NLLB-200,9,10
12,mT5-Base,8,5
13,IndicTrans2,8,48
13,NLLB-200,11,17
13,mT5-Base,11,7
14,IndicTrans2,10,61
14,NLLB-200,11,17
14,mT5-Base,11,5
